crypto,price_open,price_close,volume
BTC,2808.10009765625,2730.39990234375,1072840000
BTC,2732.699951171875,2754.860107421875,866473984
BTC,2757.5,2576.47998046875,1460089984
BTC,2577.77001953125,2529.449951171875,937404032
BTC,2538.7099609375,2671.780029296875,789104000
BTC,2679.72998046875,2809.010009765625,1380099968
BTC,2807.02001953125,2726.449951171875,803745984
BTC,2724.389892578125,2757.179931640625,705942976
BTC,2763.239990234375,2875.340087890625,860574976
BTC,2871.300048828125,2718.260009765625,1324669952
BTC,2727.1298828125,2710.669921875,1094950016
BTC,2709.56005859375,2804.72998046875,804796992
BTC,2806.929931640625,2895.889892578125,1002120000
BTC,2897.6298828125,3252.909912109375,1945699968
BTC,3257.610107421875,3213.93994140625,1105030016
BTC,3212.780029296875,3378.93994140625,1482279936
BTC,3370.219970703125,3419.93994140625,1752760064
BTC,3420.39990234375,3342.469970703125,1468960000
BTC,3341.840087890625,3381.280029296875,1515110016
BTC,3373.820068359375,3650.6201171875,2021190016
BTC,3650.6298828125,3884.7099609375,2219589888
BTC,3880.0400390625,4073.260009765625,3159089920
BTC,4066.10009765625,4325.1298828125,2463089920
BTC,4326.990234375,4181.93017578125,3258050048
BTC,4200.33984375,4376.6298828125,2272039936
BTC,4384.43994140625,4331.68994140625,2553359872
BTC,4324.33984375,4160.6201171875,2941710080
BTC,4137.75,4193.7001953125,2975820032
BTC,4189.31005859375,4087.659912109375,2109769984
BTC,4090.47998046875,4001.739990234375,2800890112
BTC,3998.35009765625,4100.52001953125,3764239872
BTC,4089.010009765625,4151.52001953125,2369819904
BTC,4137.60009765625,4334.68017578125,2037750016
BTC,4332.81982421875,4371.60009765625,1727970048
BTC,4372.06005859375,4352.39990234375,1511609984
BTC,4345.10009765625,4382.8798828125,1537459968
BTC,4384.4501953125,4382.66015625,1959330048
BTC,4389.2099609375,4579.02001953125,2486080000
BTC,4570.35986328125,4565.2998046875,1937849984
BTC,4555.58984375,4703.39013671875,1944930048
BTC,4701.759765625,4892.009765625,2599079936
BTC,4901.419921875,4578.77001953125,2722139904
BTC,4585.27001953125,4582.9599609375,1933190016
BTC,4591.6298828125,4236.31005859375,2987330048
BTC,4228.2900390625,4376.52978515625,2697969920
BTC,4376.58984375,4597.1201171875,2172100096
BTC,4589.14013671875,4599.8798828125,1844620032
BTC,4605.16015625,4228.75,2700890112
BTC,4229.81005859375,4226.06005859375,1386230016
BTC,4229.33984375,4122.93994140625,1679090048
BTC,4122.47021484375,4161.27001953125,1557330048
BTC,4168.8798828125,4130.81005859375,1864530048
BTC,4131.97998046875,3882.590087890625,2219409920
BTC,3875.3701171875,3154.949951171875,2716310016
BTC,3166.300048828125,3637.52001953125,4148069888
BTC,3637.75,3625.0400390625,1818400000
BTC,3606.280029296875,3582.8798828125,1239149952
BTC,3591.090087890625,4065.199951171875,1943209984
BTC,4073.7900390625,3924.969970703125,1563980032
BTC,3916.360107421875,3905.949951171875,1213830016
BTC,3901.469970703125,3631.0400390625,1411480064
BTC,3628.02001953125,3630.699951171875,1194829952
BTC,3629.919921875,3792.39990234375,928113984
BTC,3796.14990234375,3682.840087890625,768014976
BTC,3681.580078125,3926.070068359375,1374210048
BTC,3928.409912109375,3892.35009765625,1043740032
BTC,3892.93994140625,4200.669921875,1686880000
BTC,4197.1298828125,4174.72998046875,1712320000
BTC,4171.6201171875,4163.06982421875,1367049984
BTC,4166.10986328125,4338.7099609375,1207449984
BTC,4341.0498046875,4403.740234375,1208210048
BTC,4395.81005859375,4409.31982421875,1431730048
BTC,4408.4599609375,4317.47998046875,1288019968
BTC,4319.3701171875,4229.35986328125,1116770048
BTC,4229.8798828125,4328.41015625,1161769984
BTC,4324.4599609375,4370.81005859375,1069939968
BTC,4369.35009765625,4426.89013671875,906928000
BTC,4429.669921875,4610.47998046875,1313869952
BTC,4614.52001953125,4772.02001953125,1968739968
BTC,4776.2099609375,4781.990234375,1597139968
BTC,4789.25,4826.47998046875,1222279936
BTC,4829.580078125,5446.91015625,2791610112
BTC,5464.16015625,5647.2099609375,3615480064
BTC,5643.52978515625,5831.7900390625,1669030016
BTC,5835.9599609375,5678.18994140625,1976039936
BTC,5687.56982421875,5725.58984375,2008070016
BTC,5741.580078125,5605.509765625,1821570048
BTC,5603.81982421875,5590.68994140625,2399269888
BTC,5583.740234375,5708.52001953125,1780540032
BTC,5708.10986328125,6011.4501953125,2354429952
BTC,5996.7900390625,6031.60009765625,2207099904
