lag_days,sentiment_var,price_var,correlation,p_value,significant
1,score_mean,BTC_daily_return,0.07820044069023714,0.43697369964654487,False
1,score_mean,ETH_daily_return,0.09138519778342888,0.3634124895653318,False
1,sentiment_mean,BTC_daily_return,0.07970662418096111,0.4281667616554424,False
1,sentiment_mean,ETH_daily_return,0.06679207594519739,0.5069217474664385,False
1,positive_ratio,BTC_daily_return,0.07167644430850992,0.47628522775910376,False
1,positive_ratio,ETH_daily_return,0.00035687648490645516,0.9971739619000304,False
2,score_mean,BTC_daily_return,0.07114892421018204,0.4817839146340253,False
2,score_mean,ETH_daily_return,0.03808101710342944,0.706798742585761,False
2,sentiment_mean,BTC_daily_return,0.04659559082249326,0.6452665518231,False
2,sentiment_mean,ETH_daily_return,0.006122027426491107,0.9517963280052754,False
2,positive_ratio,BTC_daily_return,0.047988036010671906,0.6354140676045716,False
2,positive_ratio,ETH_daily_return,-0.09898134244343339,0.3271959036095121,False
3,score_mean,BTC_daily_return,-0.05293751850908703,0.6027866917261933,False
3,score_mean,ETH_daily_return,0.13696472258149425,0.17642187687077918,False
3,sentiment_mean,BTC_daily_return,-0.052673714965623696,0.6045975491863917,False
3,sentiment_mean,ETH_daily_return,0.1360678800904937,0.1792982152658357,False
3,positive_ratio,BTC_daily_return,-0.1202968850455366,0.23560246293918538,False
3,positive_ratio,ETH_daily_return,0.06895584122740304,0.49764729129439905,False
4,score_mean,BTC_daily_return,0.12798080025864095,0.2091662998063554,False
4,score_mean,ETH_daily_return,0.05712624828582575,0.5763517215425086,False
4,sentiment_mean,BTC_daily_return,0.11836566523112513,0.24571839308867166,False
4,sentiment_mean,ETH_daily_return,0.06788288115076357,0.5065938523454777,False
4,positive_ratio,BTC_daily_return,0.04281873023970927,0.6754812849934057,False
4,positive_ratio,ETH_daily_return,0.05839723406435914,0.5678820377578054,False
5,score_mean,BTC_daily_return,-0.03280746582280235,0.7497165078323271,False
5,score_mean,ETH_daily_return,-0.03386976159835204,0.7418922237580003,False
5,sentiment_mean,BTC_daily_return,-0.00703033977584641,0.9455117694519092,False
5,sentiment_mean,ETH_daily_return,-0.021981198894651912,0.8307739832793953,False
5,positive_ratio,BTC_daily_return,-0.07790257926659917,0.4481764168654612,False
5,positive_ratio,ETH_daily_return,-0.016833648375354872,0.8700031261666379,False
6,score_mean,BTC_daily_return,0.05376441160727155,0.6028841463331899,False
6,score_mean,ETH_daily_return,0.1431738426692389,0.16403866068694156,False
6,sentiment_mean,BTC_daily_return,0.05257290272095003,0.6109544498702122,False
6,sentiment_mean,ETH_daily_return,0.12763963090016447,0.21523380220343305,False
6,positive_ratio,BTC_daily_return,0.06673749442837912,0.5182493024364195,False
6,positive_ratio,ETH_daily_return,0.08595550246511087,0.405014586369664,False
7,score_mean,BTC_daily_return,-0.04462871856986849,0.6676011899071165,False
7,score_mean,ETH_daily_return,0.02348472073984831,0.8212779204301075,False
7,sentiment_mean,BTC_daily_return,-0.029421991127412356,0.7771499769419346,False
7,sentiment_mean,ETH_daily_return,0.04462871684704083,0.6676012019813425,False
7,positive_ratio,BTC_daily_return,-0.05330414658568645,0.6079291711271988,False
7,positive_ratio,ETH_daily_return,0.03732791500042841,0.7194931426511134,False
